sensor_id,temperature,pressure,humidity,event_time
sensor_0,14.99,799.54,40.04,1723955575382
sensor_1,20.26,1013.24,49.94,1723955575382
sensor_2,24.93,1200.38,60.02,1723955575382
sensor_0,15.08,799.67,39.96,1723955575392
sensor_1,20.35,1012.98,49.96,1723955575392
sensor_2,24.94,1200.64,60.08,1723955575392
sensor_0,15.24,799.99,40.19,1723955575402
sensor_1,20.34,1013.41,50.09,1723955575402
sensor_2,25.35,1199.99,60.23,1723955575402
sensor_0,14.98,799.68,40.12,1723955575412
sensor_1,20.08,1013.3,50.37,1723955575412
sensor_2,25.43,1200.15,60.44,1723955575412
sensor_0,15.2,800.32,40.23,1723955575423
sensor_1,20.56,1014.18,50.27,1723955575423
sensor_2,25.81,1200.8,60.56,1723955575423
sensor_0,15.13,800.03,40.26,1723955575433
sensor_1,20.32,1013.45,50.54,1723955575433
sensor_2,25.63,1200.51,60.77,1723955575433
sensor_0,15.32,800.27,40.28,1723955575443
sensor_1,20.85,1014.17,50.51,1723955575443
sensor_2,25.86,1201.19,60.92,1723955575443
sensor_0,15.47,800.67,40.42,1723955575453
sensor_1,20.78,1013.85,50.8,1723955575453
sensor_2,25.97,1200.51,60.93,1723955575453
sensor_0,15.51,800.13,40.33,1723955575463
sensor_1,20.76,1014.46,50.83,1723955575463
sensor_2,26.28,1201.46,61.25,1723955575463
sensor_0,15.41,800.18,40.36,1723955575474
sensor_1,20.86,1014.57,50.73,1723955575474
sensor_2,26.39,1201.79,61.29,1723955575474
sensor_0,15.68,800.44,40.49,1723955575484
sensor_1,21.15,1013.79,51.04,1723955575484
sensor_2,26.42,1200.97,61.44,1723955575484
sensor_0,15.71,800.11,40.49,1723955575494
sensor_1,20.91,1014.46,50.94,1723955575494
sensor_2,26.42,1201.58,61.5,1723955575494
sensor_0,15.46,800.11,40.5,1723955575504
sensor_1,20.92,1014.53,51.08,1723955575504
sensor_2,26.63,1201.73,61.59,1723955575504
sensor_0,15.56,800.5,40.53,1723955575515
sensor_1,21.29,1014.16,51.32,1723955575515
sensor_2,26.82,1201.76,61.92,1723955575515
sensor_0,15.71,800.93,40.58,1723955575525
sensor_1,21.47,1014.4,51.31,1723955575525
sensor_2,26.84,1202.37,61.94,1723955575525
sensor_0,15.57,800.87,40.63,1723955575535
sensor_1,21.49,1014.42,51.44,1723955575535
sensor_2,27.19,1201.93,62.07,1723955575535
sensor_0,15.79,800.88,40.62,1723955575545
sensor_1,21.27,1014.2,51.42,1723955575545
sensor_2,27.27,1201.82,62.14,1723955575545
sensor_0,15.9,800.83,40.79,1723955575555
sensor_1,21.64,1014.92,51.6,1723955575555
sensor_2,27.2,1201.82,62.16,1723955575555
sensor_0,15.72,800.49,40.85,1723955575566
sensor_1,21.84,1015.15,51.49,1723955575566
sensor_2,27.52,1202.57,62.32,1723955575566
sensor_0,16.0,800.66,40.83,1723955575577
sensor_1,21.58,1014.71,51.52,1723955575577
sensor_2,27.67,1202.79,62.44,1723955575577
sensor_0,15.75,800.46,40.76,1723955575587
sensor_1,21.57,1014.76,51.83,1723955575587
sensor_2,27.63,1202.0,62.49,1723955575587
sensor_0,15.79,801.21,40.95,1723955575597
sensor_1,22.0,1014.79,51.67,1723955575597
sensor_2,27.37,1202.92,62.54,1723955575597
sensor_0,15.78,800.41,40.83,1723955575607
sensor_1,22.04,1014.95,51.73,1723955575607
sensor_2,27.51,1202.69,62.78,1723955575607
sensor_0,15.76,801.3,40.84,1723955575617
sensor_1,21.59,1014.91,51.88,1723955575618
sensor_2,27.97,1202.47,62.66,1723955575618
sensor_0,16.12,801.22,40.96,1723955575628
sensor_1,22.11,1014.69,51.91,1723955575628
sensor_2,27.63,1202.75,62.81,1723955575628
sensor_0,15.82,800.8,41.04,1723955575638
sensor_1,22.14,1014.7,51.85,1723955575638
sensor_2,28.08,1203.33,62.9,1723955575638
sensor_0,15.86,800.74,40.9,1723955575648
sensor_1,21.64,1015.3,51.82,1723955575648
sensor_2,27.9,1202.38,62.86,1723955575648
sensor_0,16.06,800.52,40.98,1723955575659
sensor_1,21.8,1014.89,51.99,1723955575659
sensor_2,27.81,1203.41,63.04,1723955575659
sensor_0,15.86,800.53,40.98,1723955575669
sensor_1,21.81,1015.27,52.01,1723955575669
sensor_2,28.14,1202.72,62.86,1723955575669
sensor_0,16.08,800.61,40.99,1723955575679
sensor_1,21.99,1014.77,52.04,1723955575679
sensor_2,27.84,1203.18,62.96,1723955575679
sensor_0,15.85,800.65,40.99,1723955575689
sensor_1,21.98,1015.62,51.91,1723955575689
sensor_2,28.2,1203.04,62.92,1723955575689
sensor_0,16.19,801.48,40.94,1723955575700
sensor_1,21.87,1015.67,52.04,1723955575700
sensor_2,27.88,1203.38,63.06,1723955575700
sensor_0,16.04,801.49,40.98,1723955575710
